home_team,away_team,home_pitcher,away_pitcher,ganador,year,fecha,score_home,score_away
MIA,NYM,Jesús Luzardo,David Peterson,1,2023,2023-03-31,2,1
HOU,CHW,Seth Martinez,Kendall Graveman,1,2023,2023-03-31,6,3
SDP,COL,Nick Martinez,Kyle Freeland,0,2023,2023-03-31,1,4
LAD,ARI,Alex Vesia,Drey Jameson,0,2023,2023-03-31,1,2
SEA,CLE,Robbie Ray,Nick Sandlin,0,2023,2023-03-31,4,9
HOU,CHW,Ryne Stanek,Joe Kelly,1,2023,2023-04-01,6,4
STL,TOR,Jack Flaherty,Kevin Gausman,1,2023,2023-04-01,4,1
CHC,MIL,Javier Assad,Peter Strzelecki,0,2023,2023-04-01,1,3
NYY,SFG,Michael King,Jakob Junis,0,2023,2023-04-01,5,7
TEX,PHI,Nathan Eovaldi,Zack Wheeler,1,2023,2023-04-01,16,3
WSN,ATL,Josiah Gray,Spencer Strider,0,2023,2023-04-01,1,7
OAK,LAA,Shintaro Fujinami,Patrick Sandoval,0,2023,2023-04-01,1,13
BOS,BAL,Kenley Jansen,Félix Bautista,1,2023,2023-04-01,9,8
CIN,PIT,Nick Lodolo,Rich Hill,1,2023,2023-04-01,6,2
KCR,MIN,Jordan Lyles,Sonny Gray,0,2023,2023-04-01,0,2
MIA,NYM,Andrew Nardi,Tylor Megill,0,2023,2023-04-01,2,6
TBR,DET,Zach Eflin,Spencer Turnbull,1,2023,2023-04-01,12,2
SDP,COL,Michael Wacha,José Ureña,1,2023,2023-04-01,8,4
LAD,ARI,Clayton Kershaw,Madison Bumgarner,1,2023,2023-04-01,10,1
SEA,CLE,Logan Gilbert,Aaron Civale,0,2023,2023-04-01,0,2
TBR,DET,Jeffrey Springs,Joey Wentz,1,2023,2023-04-02,5,1
BOS,BAL,Tanner Houck,Cole Irvin,1,2023,2023-04-02,9,5
NYY,SFG,Jhony Brito,Ross Stripling,1,2023,2023-04-02,6,0
WSN,ATL,MacKenzie Gore,Jared Shuster,1,2023,2023-04-02,4,1
CIN,PIT,Graham Ashcraft,Vince Velasquez,1,2023,2023-04-02,3,1
MIA,NYM,Trevor Rogers,Kodai Senga,0,2023,2023-04-02,1,5
HOU,CHW,Luis Garcia,Mike Clevinger,0,2023,2023-04-02,3,6
KCR,MIN,Brad Keller,Joe Ryan,0,2023,2023-04-02,4,7
STL,TOR,Jordan Montgomery,Chris Bassitt,1,2023,2023-04-02,9,4
CHC,MIL,Jameson Taillon,Eric Lauer,0,2023,2023-04-02,5,9
OAK,LAA,Ken Waldichuk,Tyler Anderson,0,2023,2023-04-02,0,6
LAD,ARI,Brusdar Graterol,Andrew Chafin,0,2023,2023-04-02,1,2
SDP,COL,Seth Lugo,Austin Gomber,1,2023,2023-04-02,3,1
SEA,CLE,Penn Murfee,Enyel De Los Santos,0,2023,2023-04-02,5,6
TEX,PHI,Martín Pérez,Bailey Falter,1,2023,2023-04-02,2,1
SDP,ARI,Luis García,Kevin Ginkel,0,2023,2023-04-04,6,8
CIN,CHC,Buck Farmer,Adbert Alzolay,0,2023,2023-04-04,5,12
MIA,MIN,Sandy Alcantara,Kenta Maeda,1,2023,2023-04-04,1,0
NYY,PHI,Domingo Germán,Andrew Bellatti,0,2023,2023-04-04,1,4
WSN,TBR,Kyle Finnegan,Ryan Thompson,0,2023,2023-04-04,6,10
BOS,PIT,Nick Pivetta,Roansy Contreras,0,2023,2023-04-04,1,4
KCR,TOR,Kris Bubic,Yusei Kikuchi,0,2023,2023-04-04,1,4
MIL,NYM,Wade Miley,Max Scherzer,1,2023,2023-04-04,9,0
STL,ATL,Steven Matz,Dylan Dodd,0,2023,2023-04-04,1,4
TEX,BAL,Andrew Heaney,Kyle Gibson,0,2023,2023-04-04,2,7
HOU,DET,Framber Valdez,Matt Manning,0,2023,2023-04-04,3,6
OAK,CLE,Trevor May,James Karinchak,1,2023,2023-04-04,4,3
SEA,LAA,Luis Castillo,José Suarez,1,2023,2023-04-04,11,2
LAD,COL,Julio Urías,Germán Márquez,1,2023,2023-04-04,5,2
PHI,CIN,Seranthony Domínguez,Kevin Herget,0,2023,2023-04-09,4,6
DET,BOS,Matthew Boyd,Kutter Crawford,0,2023,2023-04-09,1,4
TBR,OAK,Drew Rasmussen,James Kaprielian,1,2023,2023-04-09,11,0
BAL,NYY,Tyler Wells,Nestor Cortes,0,2023,2023-04-09,3,5
PIT,CHW,Johan Oviedo,Michael Kopech,1,2023,2023-04-09,1,0
CLE,SEA,Tim Herrin,Penn Murfee,1,2023,2023-04-09,7,6
NYM,MIA,Carlos Carrasco,Tanner Scott,0,2023,2023-04-09,2,7
MIL,STL,Freddy Peralta,Jake Woodford,1,2023,2023-04-09,6,1
MIN,HOU,Tyler Mahle,Hunter Brown,0,2023,2023-04-09,1,5
CHC,TEX,Jameson Taillon,Jon Gray,0,2023,2023-04-09,2,8
COL,WSN,Dinelson Lamet,Erasmo Ramírez,1,2023,2023-04-09,7,6
SFG,KCR,John Brebbia,Ryan Yarbrough,1,2023,2023-04-09,3,1
LAA,TOR,Carlos Estévez,Jordan Romano,0,2023,2023-04-09,11,12
ARI,LAD,Ryne Nelson,Michael Grove,1,2023,2023-04-09,11,6
ATL,SDP,Dylan Dodd,Seth Lugo,0,2023,2023-04-09,2,10
PIT,HOU,Rich Hill,José Urquidy,0,2023,2023-04-12,0,7
CLE,NYY,Emmanuel Clase,Wandy Peralta,0,2023,2023-04-12,3,4
MIN,CHW,Sonny Gray,Lucas Giolito,1,2023,2023-04-12,3,1
NYM,SDP,Tylor Megill,Blake Snell,1,2023,2023-04-12,5,2
CHC,SEA,Marcus Stroman,Logan Gilbert,0,2023,2023-04-12,2,5
COL,STL,Justin Lawrence,Andre Pallante,0,2023,2023-04-12,4,7
ARI,MIL,Kyle Nelson,Janson Junk,1,2023,2023-04-12,7,3
PHI,MIA,Gregory Soto,A.J. Puk,0,2023,2023-04-12,2,3
LAA,WSN,Matt Moore,Mason Thompson,1,2023,2023-04-12,3,2
BAL,OAK,Keegan Akin,Chad Smith,0,2023,2023-04-12,4,8
TBR,BOS,Taj Bradley,Chris Sale,1,2023,2023-04-12,9,7
TOR,DET,Jordan Romano,Chasen Shreve,1,2023,2023-04-12,4,3
ATL,CIN,Kirby Yates,Buck Farmer,1,2023,2023-04-12,5,4
