date,away_team,a_team_name,R_A,home_team,h_team_name,R_H,Ganador_Pitcher,Perdedor_Pitcher,Salvado_Pitcher,ganador
2025-05-10,NYY,New York Yankees,7,OAK,Athletics,11,Grant Holman,Fernando Cruz,Mason Miller,1
2025-05-10,ATL,Atlanta Braves,3,PIT,Pittsburgh Pirates,2,Scott Blewett,Chase Shugart,NotApplyed,0
2025-05-10,STL,St. Louis Cardinals,4,WSN,Washington Nationals,2,Andre Pallante,Trevor Williams,Ryan Helsley,0
2025-05-10,MIL,Milwaukee Brewers,2,TBR,Tampa Bay Rays,3,Pete Fairbanks,Grant Anderson,NotApplyed,1
2025-05-10,PHI,Philadelphia Phillies,7,CLE,Cleveland Guardians,1,Ranger Suárez,Tanner Bibee,NotApplyed,0
2025-05-10,TEX,Texas Rangers,10,DET,Detroit Tigers,3,Jacob deGrom,Jack Flaherty,NotApplyed,0
2025-05-10,MIA,Miami Marlins,3,CHW,Chicago White Sox,1,Calvin Faucher,Jordan Leasure,Jesús Tinoco,0
2025-05-10,CIN,Cincinnati Reds,13,HOU,Houston Astros,9,Graham Ashcraft,Lance McCullers Jr.,NotApplyed,0
2025-05-10,BOS,Boston Red Sox,10,KCR,Kansas City Royals,1,Garrett Crochet,Cole Ragans,NotApplyed,0
2025-05-10,SFG,San Francisco Giants,1,MIN,Minnesota Twins,2,Joe Ryan,Logan Webb,Jhoan Duran,1
2025-05-10,CHC,Chicago Cubs,6,NYM,New York Mets,5,Cade Horton,Tylor Megill,Porter Hodge,0
2025-05-10,LAD,Los Angeles Dodgers,0,ARI,Arizona Diamondbacks,3,Corbin Burnes,Dustin May,Ryne Nelson,1
2025-05-10,SDP,San Diego Padres,21,COL,Colorado Rockies,0,Stephen Kolek,Bradley Blalock,NotApplyed,0
2025-05-10,BAL,Baltimore Orioles,2,LAA,Los Angeles Angels,5,Jack Kochanowicz,Kyle Gibson,NotApplyed,1
2025-05-10,TOR,Toronto Blue Jays,6,SEA,Seattle Mariners,3,Mason Fluharty,Carlos Vargas,Jeff Hoffman,0
2025-05-15,WSN,Washington Nationals,2,ATL,Atlanta Braves,5,AJ Smith-Shawver,Trevor Williams,Raisel Iglesias,1
2025-05-15,MIN,Minnesota Twins,4,BAL,Baltimore Orioles,0,Chris Paddack,Tomoyuki Sugano,NotApplyed,0
2025-05-15,CHW,Chicago White Sox,1,CIN,Cincinnati Reds,7,Nick Martinez,Bryse Wilson,NotApplyed,1
2025-05-15,TBR,Tampa Bay Rays,8,TOR,Toronto Blue Jays,3,Zack Littell,Kevin Gausman,NotApplyed,0
2025-05-15,HOU,Houston Astros,0,TEX,Texas Rangers,1,Jacob deGrom,Hunter Brown,Shawn Armstrong,1
2025-05-15,OAK,Athletics,2,LAD,Los Angeles Dodgers,19,Justin Wrobleski,Osvaldo Bido,NotApplyed,1
2025-05-16,CHW,Chicago White Sox,3,CHC,Chicago Cubs,13,Cade Horton,Shane Smith,NotApplyed,1
2025-05-16,CLE,Cleveland Guardians,4,CIN,Cincinnati Reds,5,Brady Singer,Tanner Bibee,Emilio Pagán,1
2025-05-16,PIT,Pittsburgh Pirates,4,PHI,Philadelphia Phillies,8,Ranger Suárez,Ryan Borucki,José Alvarado,1
2025-05-16,WSN,Washington Nationals,4,BAL,Baltimore Orioles,3,Jorge López,Félix Bautista,Kyle Finnegan,0
2025-05-16,NYM,New York Mets,2,NYY,New York Yankees,6,Carlos Rodón,Tylor Megill,Luke Weaver,1
2025-05-16,DET,Detroit Tigers,5,TOR,Toronto Blue Jays,4,Jack Flaherty,Bowden Francis,Beau Brieske,0
2025-05-16,ATL,Atlanta Braves,4,BOS,Boston Red Sox,2,Chris Sale,Garrett Crochet,Raisel Iglesias,0
2025-05-16,TBR,Tampa Bay Rays,4,MIA,Miami Marlins,9,Max Meyer,Taj Bradley,NotApplyed,1
2025-05-16,STL,St. Louis Cardinals,10,KCR,Kansas City Royals,3,Andre Pallante,Cole Ragans,NotApplyed,0
2025-05-16,HOU,Houston Astros,6,TEX,Texas Rangers,3,Kaleb Ort,Shawn Armstrong,NotApplyed,0
2025-05-16,MIN,Minnesota Twins,3,MIL,Milwaukee Brewers,0,Joe Ryan,Chad Patrick,Cole Sands,0
2025-05-16,COL,Colorado Rockies,0,ARI,Arizona Diamondbacks,8,Corbin Burnes,Carson Palmquist,NotApplyed,1
2025-05-16,SEA,Seattle Mariners,5,SDP,San Diego Padres,1,Logan Evans,Stephen Kolek,NotApplyed,0
2025-05-16,LAA,Los Angeles Angels,6,LAD,Los Angeles Dodgers,2,Jack Kochanowicz,Dustin May,NotApplyed,0
2025-05-16,OAK,Athletics,1,SFG,San Francisco Giants,9,Logan Webb,JP Sears,NotApplyed,1
2025-05-17,NYM,New York Mets,3,NYY,New York Yankees,2,Reed Garrett,Fernando Cruz,Edwin Díaz,0
2025-05-17,CHW,Chicago White Sox,3,CHC,Chicago Cubs,7,Matthew Boyd,Sean Burke,NotApplyed,1
2025-05-17,DET,Detroit Tigers,1,TOR,Toronto Blue Jays,2,Jeff Hoffman,Brenan Hanifee,NotApplyed,1
2025-05-17,WSN,Washington Nationals,10,BAL,Baltimore Orioles,6,Jake Irvin,Kyle Gibson,NotApplyed,0
2025-05-17,TBR,Tampa Bay Rays,4,MIA,Miami Marlins,0,Drew Rasmussen,Sandy Alcantara,NotApplyed,0
2025-05-17,PIT,Pittsburgh Pirates,2,PHI,Philadelphia Phillies,5,Zack Wheeler,Carmen Mlodzinski,NotApplyed,1
2025-05-17,CLE,Cleveland Guardians,1,CIN,Cincinnati Reds,4,Luis Mey,Slade Cecconi,Emilio Pagán,1
2025-05-17,HOU,Houston Astros,1,TEX,Texas Rangers,5,Tyler Mahle,Ronel Blanco,NotApplyed,1
2025-05-17,STL,St. Louis Cardinals,1,KCR,Kansas City Royals,0,Miles Mikolas,Noah Cameron,Ryan Helsley,0
2025-05-17,ATL,Atlanta Braves,6,BOS,Boston Red Sox,7,Aroldis Chapman,Pierce Johnson,NotApplyed,1
2025-05-17,MIN,Minnesota Twins,7,MIL,Milwaukee Brewers,0,Pablo López,Tobias Myers,NotApplyed,0
2025-05-17,COL,Colorado Rockies,14,ARI,Arizona Diamondbacks,12,Jake Bird,Ryan Thompson,Seth Halvorsen,0
2025-05-17,SEA,Seattle Mariners,4,SDP,San Diego Padres,1,Gabe Speier,Adrián Morejón,Andrés Muñoz,0
2025-05-17,OAK,Athletics,0,SFG,San Francisco Giants,1,Camilo Doval,Mason Miller,NotApplyed,1
2025-05-17,LAA,Los Angeles Angels,11,LAD,Los Angeles Dodgers,9,Reid Detmers,Kirby Yates,Kenley Jansen,0
2025-05-19,CLE,Cleveland Guardians,5,MIN,Minnesota Twins,6,Jhoan Duran,Cade Smith,NotApplyed,1
2025-05-19,CHC,Chicago Cubs,7,MIA,Miami Marlins,8,Valente Bellozo,Daniel Palencia,NotApplyed,1
2025-05-19,CIN,Cincinnati Reds,7,PIT,Pittsburgh Pirates,1,Nick Lodolo,Mitch Keller,NotApplyed,0
2025-05-19,NYM,New York Mets,1,BOS,Boston Red Sox,3,Justin Wilson,Kodai Senga,Aroldis Chapman,1
2025-05-19,HOU,Houston Astros,4,TBR,Tampa Bay Rays,3,Bryan King,Manuel Rodríguez,Josh Hader,0
2025-05-19,SEA,Seattle Mariners,5,CHW,Chicago White Sox,1,Luis Castillo,Davis Martin,Andrés Muñoz,0
2025-05-19,BAL,Baltimore Orioles,4,MIL,Milwaukee Brewers,5,Abner Uribe,Yennier Cano,Trevor Megill,1
2025-05-19,DET,Detroit Tigers,4,STL,St. Louis Cardinals,11,Sonny Gray,Sean Guenther,NotApplyed,1
2025-05-19,PHI,Philadelphia Phillies,9,COL,Colorado Rockies,3,Joe Ross,Seth Halvorsen,NotApplyed,0
2025-05-19,KCR,Kansas City Royals,3,SFG,San Francisco Giants,1,Kris Bubic,Tyler Rogers,Carlos Estévez,0
2025-05-19,LAA,Los Angeles Angels,4,OAK,Athletics,3,José Soriano,J.T. Ginn,Kenley Jansen,0
2025-05-19,ARI,Arizona Diamondbacks,9,LAD,Los Angeles Dodgers,5,Brandon Pfaadt,Jack Dreyer,Shelby Miller,0
2025-05-21,CIN,Cincinnati Reds,1,PIT,Pittsburgh Pirates,3,Andrew Heaney,Brady Singer,Dennis Santana,1
2025-05-21,CHC,Chicago Cubs,2,MIA,Miami Marlins,1,Brad Keller,Anthony Bender,Daniel Palencia,0
2025-05-21,BAL,Baltimore Orioles,8,MIL,Milwaukee Brewers,4,Bryan Baker,Tyler Alexander,NotApplyed,0
2025-05-21,HOU,Houston Astros,4,TBR,Tampa Bay Rays,8,Taj Bradley,Hunter Brown,NotApplyed,1
2025-05-21,DET,Detroit Tigers,5,STL,St. Louis Cardinals,1,Chase Lee,Andre Pallante,NotApplyed,0
2025-05-21,SEA,Seattle Mariners,6,CHW,Chicago White Sox,5,Casey Legumina,Mike Vasil,Andrés Muñoz,0
2025-05-21,KCR,Kansas City Royals,8,SFG,San Francisco Giants,4,Jonathan Bowlan,Logan Webb,NotApplyed,0
2025-05-21,CLE,Cleveland Guardians,5,MIN,Minnesota Twins,1,Gavin Williams,Chris Paddack,NotApplyed,0
2025-05-21,NYM,New York Mets,5,BOS,Boston Red Sox,1,Huascar Brazobán,Liam Hendriks,NotApplyed,0
2025-05-21,TEX,Texas Rangers,3,NYY,New York Yankees,4,Luke Weaver,Luke Jackson,NotApplyed,1
2025-05-21,SDP,San Diego Padres,0,TOR,Toronto Blue Jays,14,Kevin Gausman,Randy Vásquez,NotApplyed,1
2025-05-21,PHI,Philadelphia Phillies,9,COL,Colorado Rockies,5,Taijuan Walker,Carson Palmquist,NotApplyed,0
2025-05-21,LAA,Los Angeles Angels,10,OAK,Athletics,5,Héctor Neris,JP Sears,NotApplyed,0
2025-05-21,ARI,Arizona Diamondbacks,1,LAD,Los Angeles Dodgers,3,Dustin May,Corbin Burnes,Tanner Scott,1
2025-05-22,TEX,Texas Rangers,0,NYY,New York Yankees,1,Carlos Rodón,Nathan Eovaldi,Luke Weaver,1
2025-05-22,SDP,San Diego Padres,6,TOR,Toronto Blue Jays,7,Braydon Fisher,Jeremiah Estrada,NotApplyed,1
2025-05-22,PHI,Philadelphia Phillies,2,COL,Colorado Rockies,0,Ranger Suárez,Germán Márquez,Jordan Romano,0
2025-05-22,LAA,Los Angeles Angels,10,OAK,Athletics,5,Hunter Strickland,Grant Holman,NotApplyed,0
2025-05-22,CLE,Cleveland Guardians,7,DET,Detroit Tigers,0,Tanner Bibee,Jack Flaherty,NotApplyed,0
2025-05-22,MIL,Milwaukee Brewers,8,PIT,Pittsburgh Pirates,5,Carlos Rodriguez,Mike Burrows,Trevor Megill,0
2025-05-22,ATL,Atlanta Braves,7,WSN,Washington Nationals,8,Jackson Rutledge,Dylan Lee,NotApplyed,1
2025-05-22,SEA,Seattle Mariners,2,HOU,Houston Astros,9,Shawn Dubin,George Kirby,NotApplyed,1
2025-05-23,BAL,Baltimore Orioles,5,BOS,Boston Red Sox,19,Garrett Whitlock,Seranthony Domínguez,NotApplyed,1
2025-05-23,CHC,Chicago Cubs,13,CIN,Cincinnati Reds,6,Chris Flexen,Tony Santillan,NotApplyed,0
